dataset,site,n,mean_beta,sd_beta,mean_sigma,frac_high_precision,frac_responder,predicted,residual
PSA001_Dominant,039,3,0.42576217410276945,0.5529178865143195,1.4864963317416666,0.3333333333333333,0.3333333333333333,0.25527121356264004,0.1704909605401294
PSA001_Dominant,050,4,0.0793258414710151,0.47164782626677515,1.7654404103229164,0,0.25,0.20044165475535447,-0.12111581328433937
PSA001_Dominant,051,3,-0.2656852008376732,0.3597694256408667,1.4602352291458334,0.3333333333333333,0,-0.20174629617257123,-0.06393890466510199
PSA001_Dominant,054,1,0.29041447086900835,NA,1.3232129704166666,0,0,NA,NA
PSA001_Dominant,055,2,0.38579569589945206,0.17427581587278518,1.5238583586291667,0.5,1,0.3687425667228288,0.017053129176623272
PSA001_Dominant,065,1,0.10643232025650792,NA,0.909971213125,1,0,NA,NA
PSA001_Dominant,075,3,0.11304539778491528,0.0955605017208938,1.2045561462125,0.6666666666666666,0.3333333333333333,-0.25065836675937614,0.36370376454429143
PSA001_Dominant,083,1,-0.6257696988329167,NA,1.26716231725,1,0,NA,NA
PSA001_Dominant,113,1,0.4854911439070833,NA,1.1174433698916666,1,1,NA,NA
PSA001_Dominant,114,2,0.24131819848617503,0.09625720636549819,1.2123740117854167,0.5,0.5,0.007555227070867421,0.2337629714153076
PSA001_Dominant,115,2,0.24651918862253336,0.6449047966745416,0.9547240424395833,1,0.5,0.2882348515225791,-0.04171566290004575
PSA001_Dominant,116,3,-0.04139733913786764,0.2412689724519733,1.4868890731527777,0.3333333333333333,0,-0.3221945091863201,0.28079717004845245
PSA001_Dominant,117,1,-0.093450737300775,NA,0.7180709688583333,1,0,NA,NA
Stroop,AshlandUniversity,84,-0.07964422184483659,0.013775389063123783,0.03315037347451074,0.38095238095238093,1,-0.08354843660855615,0.003904214763719563
Stroop,BradleyUniversity,119,-0.07605387469454232,0.013765123278722997,0.0328008137848862,0.4789915966386555,0.9915966386554622,-0.08042025664415244,0.004366381949610115
Stroop,CarletonUniversity,44,-0.07943304958631782,0.014463135147394864,0.0331851405300751,0.2727272727272727,1,-0.0851741458651443,0.005741096278826477
Stroop,IthacaCollege,91,-0.08594037384711475,0.013362170439531055,0.032734669303039456,0.5274725274725275,1,-0.08234844597430836,-0.0035919278728063914
Stroop,MiamiUniversity,96,-0.0781103889328858,0.014733011445320703,0.03338893455627094,0.3333333333333333,1,-0.08491790297337978,0.006807514040493984
Stroop,MichiganStateUniversity,318,-0.06388647809841937,0.014697706893824294,0.03258339346773967,0.5628930817610063,0.9433962264150944,-0.0655485181756199,0.0016620400772005273
Stroop,MontanaStateUniversity,124,-0.08091140827872538,0.014343960853276714,0.032422460006746846,0.6290322580645161,0.9919354838709677,-0.0805634467184359,-3.4796156028947534e-4
Stroop,NovaSoutheasternUniversity,131,-0.07868889714956752,0.015297654304451605,0.03258802251067165,0.4961832061068702,0.9847328244274809,-0.08024821142165249,0.0015593142720849718
Stroop,OSUNewark,158,-0.0901525955680946,0.013836427347221987,0.033203686705832805,0.36075949367088606,1,-0.08372266644955792,-0.006429929118536681
Stroop,PacificLutheranUniversity,101,-0.0916824954148594,0.014868406531806874,0.03335456006444971,0.297029702970297,1,-0.08538008416990353,-0.006302411244955869
Stroop,PennStateAbington,117,-0.0909144528121594,0.015031913705953309,0.033653736306189244,0.2564102564102564,1,-0.08561322989062356,-0.005301222921535842
Stroop,SanDiegoStateUniversity,142,-0.08200968743872755,0.014908814594730252,0.032990980480951185,0.5070422535211268,1,-0.08427721383000455,0.0022675263912770027
Stroop,TexasAandM,178,-0.08459889185029465,0.016047024967402835,0.03284899757160963,0.4606741573033708,1,-0.08621053900643733,0.001611647156142676
Stroop,UCDavis,119,-0.07721644530673775,0.014508789333457249,0.033164338834256395,0.3865546218487395,0.9915966386554622,-0.0817158727900129,0.004499427483275142
Stroop,UCRiverside,242,-0.09248309613831274,0.01412524247211751,0.032887428056001304,0.49586776859504134,1,-0.08342820215766789,-0.009054893980644851
Stroop,UNKNOWN,57,-0.07965973967047794,0.013776815691431604,0.03451118815591763,0.22807017543859648,1,-0.08341871907270501,0.0037589794022270667
Stroop,UniversityOfFlorida,137,-0.06658941671065566,0.016448208842056174,0.03245284159624546,0.5912408759124088,0.9343065693430657,-0.06478415421211733,-0.0018052624985383237
Stroop,UniversityOfSouthernMississippi,89,-0.0846179106633397,0.015988106842775487,0.0332128381781321,0.3707865168539326,0.9887640449438202,-0.08278672148451227,-0.001831189178827422
Stroop,UniversityOfToronto,81,-0.06696558223329407,0.015125764555003769,0.03295307769900364,0.49382716049382713,0.9382716049382716,-0.06459563455433026,-0.002369947678963813
Stroop,UniversityOfVirginia,194,-0.07085495321372268,0.016326834760423112,0.032141556992664355,0.6804123711340206,0.9587628865979382,-0.07223456767857539,0.001379614464852713
Stroop,VirginiaCommonwealthUniversity,95,-0.0911516357973455,0.015865987527638716,0.033033436004285724,0.4631578947368421,1,-0.08579383198141402,-0.005357803815931483
Stroop,mTurk,620,-0.07819257949961578,0.01619874988469782,0.03242944936617358,0.6209677419354839,0.9919354838709677,-0.08302737309093733,0.004834793591321551
