dataset,person,site,beta_mean,beta_sd,sigma,p_outlier,p_gt0,p_lt0,p_near,p_in_direction,p_opposite_direction,effect_direction,responder,near_zero,opposite,high_precision
Stroop,675985,MichiganStateUniversity,-0.05718962267774137,0.03388128481994933,0.03388128481994933,NA,0.04571124106017721,0.9542887589398228,0.12482356110056747,0.9542887589398228,0.04571124106017721,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675986,MichiganStateUniversity,-0.0790079081293725,0.03276121744083217,0.03276121744083217,NA,0.00794071226023818,0.9920592877397618,0.03458441240140242,0.9920592877397618,0.00794071226023818,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675988,MichiganStateUniversity,-0.0723680250714975,0.03169363363598478,0.03169363363598478,NA,0.011204539491391663,0.9887954605086083,0.047452819106669764,0.9887954605086083,0.011204539491391663,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675994,MichiganStateUniversity,-0.0579574582745815,0.03291480656560636,0.03291480656560636,NA,0.039133386002509596,0.9608666139974904,0.11548239239892655,0.9608666139974904,0.039133386002509596,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679635,MichiganStateUniversity,-0.09315445069655826,0.03125740265815456,0.03125740265815456,NA,0.0014401298276478514,0.9985598701723521,0.009484603965726257,0.9985598701723521,0.0014401298276478514,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679647,MichiganStateUniversity,-0.06330746287311542,0.03427868337057591,0.03427868337057591,NA,0.032384702668109666,0.9676152973318903,0.09568073678362043,0.9676152973318903,0.032384702668109666,-1,TRUE,FALSE,FALSE,FALSE
Stroop,679652,MichiganStateUniversity,-0.0488205886684014,0.03403605174789572,0.03403605174789572,NA,0.07573210709360967,0.9242678929063903,0.17697399665616131,0.9242678929063903,0.07573210709360967,-1,TRUE,FALSE,FALSE,FALSE
Stroop,679667,MichiganStateUniversity,-0.0562425050411475,0.03291754582688615,0.03291754582688615,NA,0.04376369930160473,0.9562363006983953,0.12517183111287866,0.9562363006983953,0.04376369930160473,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679671,MichiganStateUniversity,-0.073943927375135,0.03083017799581576,0.03083017799581576,NA,0.008232831959957387,0.9917671680400426,0.03892888199957978,0.9917671680400426,0.008232831959957387,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679681,MichiganStateUniversity,-0.03206021311800325,0.03051090094408768,0.03051090094408768,NA,0.14668005793782513,0.8533199420621749,0.30234201401195804,0.8533199420621749,0.14668005793782513,-1,FALSE,FALSE,FALSE,TRUE
Stroop,679687,MichiganStateUniversity,-0.0556148873659375,0.03247673084307534,0.03247673084307534,NA,0.04340657491083599,0.956593425089164,0.12645340568139518,0.956593425089164,0.04340657491083599,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679702,MichiganStateUniversity,-0.0535955327576145,0.03034628402707434,0.03034628402707434,NA,0.03868688213214089,0.9613131178678591,0.1264811500704407,0.9613131178678591,0.03868688213214089,-1,TRUE,FALSE,FALSE,TRUE
